Rank,Phrase,Count,Percentage
287,the laborer,20,0.05%
288,this incarnation,20,0.05%
289,another plane,20,0.05%
290,this plane,20,0.05%
291,the sun,20,0.05%
292,the fear,20,0.05%
293,the point,19,0.05%
294,the corner,19,0.05%
295,the king,19,0.05%
296,your own thoughts,19,0.05%
297,your family,19,0.05%
298,the chest,19,0.05%
299,mind,19,0.05%
300,the concept,19,0.05%
301,my own mind,19,0.05%
302,my lips,19,0.05%
303,your desires,19,0.05%
304,the laws,19,0.05%
305,your own heart,19,0.05%
306,your feet,19,0.05%
307,the other side,19,0.05%
308,the courtyard,19,0.05%
309,the army,19,0.05%
310,your senses,19,0.05%
311,the news,19,0.05%
312,a friend,18,0.04%
313,a tree,18,0.04%
314,your incarnation,18,0.04%
315,an act,18,0.04%
316,the side,18,0.04%
317,the kids,18,0.04%
318,the marketplace,18,0.04%
319,evolution,18,0.04%
320,ways,18,0.04%
321,their body,18,0.04%
322,his voice,18,0.04%
323,a method,18,0.04%
324,the first time,18,0.04%
325,the motion,18,0.04%
326,a great deal,18,0.04%
327,a dream,18,0.04%
328,a practice,18,0.04%
329,a car,18,0.04%
330,the town,18,0.04%
331,this society,18,0.04%
332,prison,18,0.04%
333,my rational mind,18,0.04%
334,the witness,18,0.04%
335,seva,17,0.04%
336,your friends,17,0.04%
337,the hotel,17,0.04%
338,a man,17,0.04%
339,the flow,17,0.04%
340,the relationship,17,0.04%
341,the curriculum,17,0.04%
342,this situation,17,0.04%
343,the essence,17,0.04%
344,his hand,17,0.04%
345,the harmony,17,0.04%
346,my point,17,0.04%
347,the forest,17,0.04%
348,your hand,17,0.04%
349,a statement,17,0.04%
350,a game,17,0.04%
351,my thing,17,0.04%
352,these things,17,0.04%
353,my breath,17,0.04%
354,the work,17,0.04%
355,the 4th chakra,17,0.04%
356,vietnam,17,0.04%
357,the top,17,0.04%
358,a retreat,17,0.04%
359,politics,17,0.04%
360,its thing,17,0.04%
361,a soul,17,0.04%
362,the bed,17,0.04%
363,the evening,16,0.04%
364,my brother,16,0.04%
365,your identity,16,0.04%
366,a tight shoe,16,0.04%
367,our tree,16,0.04%
368,the other thing,16,0.04%
369,the line,16,0.04%
370,days,16,0.04%
371,my predicament,16,0.04%
372,my ego,16,0.04%
373,your universe,16,0.04%
374,his name,16,0.04%
375,your thing,16,0.04%
376,television,16,0.04%
377,the table,16,0.04%
378,a form,16,0.04%
379,our society,16,0.04%
380,a state,16,0.04%
381,your part,16,0.04%
382,nepal,16,0.04%
383,a different place,16,0.04%
384,the desire,16,0.04%
385,truth,16,0.04%
386,my thoughts,16,0.04%
387,the level,16,0.04%
388,the quality,16,0.04%
389,the tip,16,0.04%
390,the same place,16,0.04%
391,their lives,16,0.04%
392,the possibility,15,0.04%
393,the dance,15,0.04%
394,harvard,15,0.04%
395,the thoughts,15,0.04%
396,a question,15,0.04%
397,your own life,15,0.04%
398,your actions,15,0.04%
399,a picture,15,0.04%
400,the streets,15,0.04%
401,phenomena,15,0.04%
402,enlightenment,15,0.04%
403,students,15,0.04%
404,an elderly couple,15,0.04%
405,sita,15,0.04%
406,action,15,0.04%
407,my friend,15,0.04%
408,the music,15,0.04%
409,our eyes,15,0.04%
410,your ego,15,0.04%
411,the mill,15,0.04%
412,the divine mother,15,0.04%
413,your mother,15,0.04%
414,a choice,15,0.04%
415,the whole trip,15,0.04%
416,a society,15,0.04%
417,calcutta,15,0.04%
418,the statement,15,0.04%
419,our consciousness,15,0.04%
420,the abdomen,15,0.04%
421,my stepmother,15,0.04%
422,delhi,15,0.04%
423,awareness,15,0.04%
424,the church,14,0.03%
425,the phone,14,0.03%
426,this temporary body,14,0.03%
427,this process,14,0.03%
428,the retreat,14,0.03%
429,the opportunity,14,0.03%
430,their bodies,14,0.03%
431,a woman,14,0.03%
432,an environment,14,0.03%
433,my model,14,0.03%
434,our predicament,14,0.03%
435,the gate,14,0.03%
436,their hearts,14,0.03%
437,the perfection,14,0.03%
438,a system,14,0.03%
439,a result,14,0.03%
440,the awakening,14,0.03%
441,the doctor,14,0.03%
442,the planet,14,0.03%
443,the surface,14,0.03%
444,a mental hospital,14,0.03%
445,the snow,14,0.03%
446,your way,14,0.03%
447,the years,14,0.03%
448,your rational mind,13,0.03%
449,the realm,13,0.03%
450,a member,13,0.03%
451,the nose,13,0.03%
452,our bodies,13,0.03%
453,an experience,13,0.03%
454,my method,13,0.03%
455,the stream,13,0.03%
456,the whole scene,13,0.03%
457,the bathroom,13,0.03%
458,a parent,13,0.03%
459,anger,13,0.03%
460,growth,13,0.03%
461,a baby,13,0.03%
462,his arms,13,0.03%
463,your problem,13,0.03%
464,your intellect,13,0.03%
465,this place,13,0.03%
466,knowledge,13,0.03%
467,most people,13,0.03%
468,my identity,13,0.03%
469,your parents,13,0.03%
470,your job,13,0.03%
471,the hall,13,0.03%
472,your role,13,0.03%
473,the garden,13,0.03%
474,my trip,13,0.03%
475,a human birth,13,0.03%
476,the result,13,0.03%
477,the day,13,0.03%
478,maharaji,13,0.03%
479,my spine,13,0.03%
480,my children,13,0.03%
481,fire,13,0.03%
482,the spiritual path,13,0.03%
483,heaven,13,0.03%
484,this stuff,13,0.03%
485,a long time,13,0.03%
486,the stroke,13,0.03%
487,the minute,13,0.03%
488,each other,13,0.03%
489,gold,12,0.03%
490,the fruits,12,0.03%
491,our roles,12,0.03%
492,months,12,0.03%
493,individual differences,12,0.03%
494,the wisdom,12,0.03%
495,their role,12,0.03%
496,the consciousness,12,0.03%
497,the old woman,12,0.03%
498,your child,12,0.03%
499,your environment,12,0.03%
500,the field,12,0.03%
